[2020-12-09 19:49:36,118] {/Users/alma/PycharmProjects/flaskProject/app/thread/controller.py:19} INFO - Create_thread called with payload: {'users': ['alma', 'bob']}
[2020-12-09 19:49:37,364] {/Users/alma/PycharmProjects/flaskProject/app/thread/controller.py:19} INFO - Create_thread called with payload: {'users': ['alma', 'bob']}
[2020-12-09 19:49:41,834] {/Users/alma/PycharmProjects/flaskProject/app/message/controller.py:16} INFO - Create_message called with payload: {'message': 'Strange message from bob'}. And path parameters: thread_id: 5fd10a9f0fcb41725938980e, username: bob
[2020-12-09 19:49:43,101] {/Users/alma/PycharmProjects/flaskProject/app/message/controller.py:16} INFO - Create_message called with payload: {'message': 'Strange message from bob'}. And path parameters: thread_id: 5fd10a9f0fcb41725938980e, username: bob
[2020-12-09 19:49:46,870] {/Users/alma/PycharmProjects/flaskProject/app/message/controller.py:44} INFO - Get_thread called for thread_id: 5fd10a9f0fcb41725938980e
[2020-12-09 19:49:47,379] {/Users/alma/PycharmProjects/flaskProject/app/message/controller.py:44} INFO - Get_thread called for thread_id: 5fd10a9f0fcb41725938980e
[2020-12-09 19:58:06,403] {/Users/alma/PycharmProjects/flaskProject/app/message/controller.py:44} INFO - Get_thread called for thread_id: 5fd10a9f0fcb41725938980e
[2020-12-09 19:59:04,304] {/Users/alma/PycharmProjects/flaskProject/app/message/controller.py:44} INFO - Get_thread called for thread_id: 5fd10a9f0fcb41725938980e
[2020-12-09 19:59:05,098] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:17} DEBUG - Found 8 messages in thread: 5fd10a9f0fcb41725938980e
[2020-12-09 21:32:09,966] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:23} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 21:32:09,967] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:27:35,763] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:27:39,083] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd141476f19a09d0bc8e6f1
[2020-12-09 22:27:55,297] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:27:56,307] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd1415b6abefc4e40ca62a7
[2020-12-09 22:28:05,474] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:28:06,489] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd141653c3acc390d1f08cb
[2020-12-09 22:28:26,388] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:28:27,108] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd1417a1e6116eccfc2d618
[2020-12-09 22:30:24,570] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:30:26,698] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd141f0c0650465902135c9
[2020-12-09 22:30:26,702] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:30:26,703] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:33:21,265] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:22,317] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd142a15b48a20a9612d035
[2020-12-09 22:33:22,321] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:33:22,322] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:33:22,344] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:22,344] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:22,468] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142a25b48a20a9612d036
[2020-12-09 22:33:22,468] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142a25b48a20a9612d036
[2020-12-09 22:33:22,472] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:22,472] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:22,593] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142a25b48a20a9612d037
[2020-12-09 22:33:22,593] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142a25b48a20a9612d037
[2020-12-09 22:33:38,102] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:39,091] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd142b2e7ce3ee707c151c9
[2020-12-09 22:33:39,095] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:33:39,095] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:33:39,119] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:39,119] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:33:39,242] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142b3e7ce3ee707c151ca
[2020-12-09 22:33:39,242] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142b3e7ce3ee707c151ca
[2020-12-09 22:33:39,246] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:27} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:33:39,246] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:27} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:33:39,246] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:33:39,246] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:34:01,382] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:27} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:34:02,365] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:29} DEBUG - Inserted Id: %s5fd142c9e6e4108e60968e1a
[2020-12-09 22:34:02,369] {/Users/alma/PycharmProjects/flaskProject/app/message/entity.py:24} ERROR - jsonschema ValidationError: 'message' is a required property
[2020-12-09 22:34:02,370] {/Users/alma/PycharmProjects/flaskProject/app/message/service.py:32} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:34:02,391] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:34:02,391] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:34:02,515] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142cae6e4108e60968e1b
[2020-12-09 22:34:02,515] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd142cae6e4108e60968e1b
[2020-12-09 22:34:02,519] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:27} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:34:02,519] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:27} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:34:02,519] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
